,name,notes,physicalAddress,postalAddress,dn,aliases,region,ntgGeographicDefinition,enrolment,enrolmentDataSource,description,religion,hasImage,preSchool,faftSchool,primarySchool,middleSchool,seniorSchool,telephoneNumber,businessCategories,ntgGazettedRegion,directorate,schoolElectorate,facsimileTelephoneNumber,councilMail,remoteDefinition,long,lat,uri,mail,preSchoolInfo,schoolManagement
0,Acacia Hill School,,"{'description': '80 Spearwood Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Spearwood Rd, Alice Springs, 0870, NT'}","{'description': 'PO Box 435', 'state': 'NT', 'postCode': 'ALICE SPRINGS, 0871', 'displayAddress': 'PO Box 435, ALICE SPRINGS, 0871, NT'}","ou=Acacia Hill School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote Australia,93,2021 Census - 1st week August,not available,Government,True,True,False,True,True,True,(08) 895 52222,['Specialist School'],,Central Australia,Braitling,,tba,Urban,133.898,-23.7007,not available,acaciahill.school@education.nt.gov.au,,"[{'firstName': 'Julie', 'lastName': 'Permezel', 'position': 'Principal', 'email': 'julie.permezel@education.nt.gov.au', 'phone': '(08) 895 52222'}, {'firstName': 'Moin', 'lastName': 'Vahora', 'position': 'Administration Manager', 'email': 'moin.vahora1@education.nt.gov.au', 'phone': '(08) 895 52222'}]"
1,Adelaide River School,,"{'description': '31 Memorial Tce', 'state': 'NT', 'postCode': 'Adelaide River, 0846', 'displayAddress': '31 Memorial Tce, Adelaide River, 0846, NT'}","{'description': 'C/- Post Office', 'state': 'NT', 'postCode': 'Adelaide River, 0846', 'displayAddress': 'C/- Post Office, Adelaide River, 0846, NT'}","ou=Adelaide River School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Remote,46,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 8976 7034,['Small School'],,North,Daly,(08) 8976 7074,tba,Remote Special Category,131.10926,-13.2371,,adelaideriver.ps@education.nt.gov.au,,"[{'firstName': 'Tony', 'lastName': 'Clegg', 'position': 'Principal', 'email': 'tony.clegg@education.nt.gov.au', 'phone': '(08) 8976 7034'}, {'firstName': 'Tricia', 'lastName': 'Forscutt', 'position': 'Administration Manager', 'email': 'tricia.forscutt@education.nt.gov.au', 'phone': '(08) 8976 7034'}]"
2,Alawa Pre School,,"{'description': '27 Pett St', 'state': 'NT', 'postCode': 'Alawa', 'displayAddress': '27 Pett St, Alawa, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Alawa Pre School,ou=Alawa Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 899 77666,['Preschool'],,,Johnston,,,,,,,,,[]
3,Alawa Primary School,,"{'description': '27 Pett Street', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '27 Pett Street, Alawa, 0810, NT'}","{'description': 'PO Box 40446', 'state': 'NT', 'postCode': 'Casuarina, 0811', 'displayAddress': 'PO Box 40446, Casuarina, 0811, NT'}","ou=Alawa Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,314,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 899 77666,['Primary School'],,North ,Johnston,,tba,Urban,130.87754,-12.38022,http://www.alawaprimary.nt.edu.au,alawa.school@education.nt.gov.au,,"[{'firstName': 'Sandy', 'lastName': 'Cartwright', 'position': 'Principal', 'email': 'sandy.cartwright@education.nt.gov.au', 'phone': '(08) 899 77666'}]"
4,Alcoota School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Engawala (Alcoota Stn)', 'displayAddress': 'N/A, Engawala (Alcoota Stn), NT'}","{'description': 'PMB 129,', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'PMB 129,, via Alice Springs, 0872, NT'}","ou=Alcoota School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Engawala'],Central,Very Remote Australia,19,2021 Census - 1st week August,not available,Government,False,True,False,True,True,True,(08) 8956 9977,['Small School'],,Central Australia,Namatjira,(08) 8956 9126,tba,Remote Category 2,134.45452,-22.80235,n/a,kim.omar@education.nt.gov.au,,"[{'firstName': 'Sahil', 'lastName': 'Gusiya', 'position': 'Administration Manager', 'email': 'sahil.gusiya@education.nt.gov.au', 'phone': '(08) 895 11641'}, {'firstName': 'tba', 'lastName': 'tba', 'position': 'Principal', 'email': 'tba@education.nt.gov.au', 'phone': '(08) 8956 9977'}]"
5,Alekarenge School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ali Curung (Warrabri)', 'displayAddress': 'N/A, Ali Curung (Warrabri), NT'}","{'description': 'LMB 161', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'LMB 161, via Alice Springs, 0872, NT'}","ou=Alekarenge School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Ali Curung', 'Ale-Kerange', 'Warrabri', 'Warribri']",Barkly,Very Remote,121,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8964 1957,['Small School'],,Central Australia,Barkly,(08) 8964 1969,n/a,Remote Category 2,134.405661,-21.003806,not available,admin.alekacec@education.nt.gov.au,,"[{'firstName': 'Omar', 'lastName': 'Khoyam', 'position': 'Business Manager', 'email': 'Omar.Khoyam@education.nt.gov.au', 'phone': '0415 461 212'}, {'firstName': 'Michelle', 'lastName': 'Leonard', 'position': 'Principal', 'email': 'm.leonard@education.nt.gov.au', 'phone': '(08) 8964 1957'}]"
6,Alice Springs Language Centre,same campus as Centralian Middle School,"{'description': 'Milner Road', 'state': 'NT', 'postCode': 'Alice SPrings, 0870', 'displayAddress': 'Milner Road, Alice SPrings, 0870, NT'}","{'description': 'PO Box 9045', 'state': 'NT', 'postCode': 'Alice Springs, 0871', 'displayAddress': 'PO Box 9045, Alice Springs, 0871, NT'}","ou=Alice Springs Language Centre,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote,,2021 Census - 1st week August,same campus as Centralian Middle School,Government,False,False,False,False,False,False,(08) 895 52366,['Other School'],,Central Australia,Araluen,,tba,Urban,133.8669804543902,-23.70818046115718,http://www.alicespringslanguagecentre.com,admin.aslc@education.nt.gov.au,,"[{'firstName': 'Susan', 'lastName': 'Moore', 'position': 'Principal', 'email': 'susan.moore@education.nt.gov.au', 'phone': '(08) 895 52366'}]"
7,Alice Springs School Of The Air,,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","{'description': 'PO Box 1220', 'state': 'NT', 'postCode': 'Alice Springs, 0871', 'displayAddress': 'PO Box 1220, Alice Springs, 0871, NT'}","ou=Alice Springs School Of The Air,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote,254,2021 Census - 1st week August,not available,Government,True,True,False,True,True,False,(08) 8951 6800,['Distance School'],,Central Australia,Braitling,,tba,Remote Category 3,133.86618,-23.67805,http://www.assoa.nt.edu.au/,assoa@assoa.nt.edu.au,,"[{'firstName': 'Karen', 'lastName': 'Pomfret', 'position': 'Business Manager', 'email': 'karen.pomfret@education.nt.gov.au', 'phone': '(08) 895 16800'}, {'firstName': 'Kerrie', 'lastName': 'Russell', 'position': 'Principal', 'email': 'kerrie.russell@education.nt.gov.au', 'phone': '(08) 8951 6800'}]"
8,Alice Springs Steiner School,,"{'description': 'Lot 9523 Ragonesi Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': 'Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT'}","{'description': 'PO Box 2736', 'state': 'NT', 'postCode': 'Alice Springs, 0871', 'displayAddress': 'PO Box 2736, Alice Springs, 0871, NT'}","ou=Alice Springs Steiner School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['The Alice Springs Steiner School'],Central,Remote,181,2018 Census,not available,Independent,False,True,False,True,False,False,(08) 8953 4578,['Primary School'],,not available,Namatjira,(08) 8952 3897,,,133.881575,-23.743824,http://www.alicesteiner.nt.edu.au/,accounts@alicesteiner.nt.edu.au,,"[{'firstName': 'Dina', 'lastName': 'Fiek', 'position': 'Principal', 'email': 'principal@alicesteiner.nt.edu.au', 'phone': '8953 4578'}]"
9,Alpurrurulam School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Alpurrurulam (Lake Nash)', 'displayAddress': 'N/A, Alpurrurulam (Lake Nash), NT'}","{'description': 'PMB 46', 'state': 'QLD', 'postCode': 'Mt Isa, 4825', 'displayAddress': 'PMB 46, Mt Isa, 4825, QLD'}","ou=Alpurrurulam School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Ilperrelhelam', 'Lake Nash', 'Wart Alparayetye']",Barkly,Very Remote,108,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(07) 4748 4887,['Small School'],,Central Australia,Barkly,(07) 4748 3078,n/a,Remote Category 3,137.84839,-20.98775,n/a,marilyn.sonnenburg@education.nt.gov.au,,"[{'firstName': 'Marilyn', 'lastName': 'Sonnenburg', 'position': 'Principal', 'email': 'marilyn.sonnenburg@education.nt.gov.au', 'phone': '(07) 4748 4887'}]"
10,Alyangula Area School,,"{'description': 'Cnr Flinders St & Ayawarra Cr', 'state': 'NT', 'postCode': 'Alyangula', 'displayAddress': 'Cnr Flinders St & Ayawarra Cr, Alyangula, NT'}","{'description': 'PMB 3', 'state': 'NT', 'postCode': 'Alyangula, Groote Eylandt, 0885', 'displayAddress': 'PMB 3, Alyangula, Groote Eylandt, 0885, NT'}","ou=Alyangula Area School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,237,2021 Census - 1st week August,not available,Government,True,True,False,True,True,True,(08) 8987 6366,['Remote School'],,North,Arnhem,(08) 8987 6014,n/a,Remote Category 3,136.42011,-13.84964,http://www.alyangula.nt.edu.au,alyangula.admin@education.nt.gov.au,,"[{'firstName': 'Mel', 'lastName': 'Dougherty', 'position': 'Principal', 'email': 'mel.dougherty@education.nt.gov.au', 'phone': '(08) 8987 6366'}, {'firstName': 'Margaret', 'lastName': 'McKee', 'position': 'Business Manager', 'email': 'Margaret.mckee@education.nt.gov.au', 'phone': '(08) 894 49404'}]"
11,Alyangula Pre School,,"{'description': 'Cnr Flinders St & Ayawarra Cr', 'state': 'NT', 'postCode': 'Alyangula', 'displayAddress': 'Cnr Flinders St & Ayawarra Cr, Alyangula, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Alyangula Pre School,ou=Alyangula Area School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8987 6366,['Preschool'],,,Arnhem,(08) 8987 6014,,,,,,,,[]
12,Alyarrmandumanja Umbakumba School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Umbakumba', 'displayAddress': 'N/A, Umbakumba, NT'}","{'description': 'PO Box 698', 'state': 'NT', 'postCode': 'Alyangula, 0885', 'displayAddress': 'PO Box 698, Alyangula, 0885, NT'}","ou=Alyarrmandumanja Umbakumba School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Umbakumba'],East Arnhem,Very Remote,52,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8987 6793,['Small School'],,North,Arnhem,(08) 8987 6984,n/a,Remote Category 3,136.81193,-13.85975,https://www.alyarrmandumanja.nt.edu.au/,admin.umbakumba@education.nt.gov.au,,"[{'firstName': 'Christine', 'lastName': 'Boog', 'position': 'Business Manager', 'email': 'Christine.boog1@education.nt.gov.au', 'phone': '(08) 899 93548'}, {'firstName': 'Genevieve', 'lastName': 'Wild', 'position': 'Principal', 'email': 'genevieve.wild@education.nt.gov.au', 'phone': '(08) 8987 6793'}]"
